2024-02-08 00:09:29,708 [] [background-preinit] INFO  [org.hibernate.validator.internal.util.Version] Version.java:21 - HV000001: Hibernate Validator 6.0.1.Final
2024-02-08 00:09:29,704 [] [main] INFO  [cn.skuu.adapter.UserAdapterTest] StartupInfoLogger.java:55 - Starting UserAdapterTest using Java 1.8.0_333 on dcxdeMacBook-Pro.local with PID 18583 (started by dcx in /Users/dcx/me/skuu-java)
2024-02-08 00:09:29,711 [] [main] INFO  [cn.skuu.adapter.UserAdapterTest] SpringApplication.java:640 - The following 1 profile is active: "dev"
2024-02-08 00:09:31,189 [] [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2024-02-08 00:09:31,196 [] [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-02-08 00:09:31,241 [] [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:201 - Finished Spring Data repository scanning in 33 ms. Found 0 Redis repository interfaces.
2024-02-08 00:09:32,654 [] [main] INFO  [o.s.b.f.a.AutowiredAnnotationBeanPostProcessor] AutowiredAnnotationBeanPostProcessor.java:496 - Autowired annotation is not supported on static methods: public static void cn.skuu.common.util.SystemUtil.setEnv(java.lang.String)
2024-02-08 00:09:36,193 [] [main] WARN  [i.n.resolver.dns.DnsServerAddressStreamProviders] DnsServerAddressStreamProviders.java:70 - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS.
2024-02-08 00:09:37,908 [] [main] INFO  [cn.skuu.adapter.UserAdapterTest] StartupInfoLogger.java:61 - Started UserAdapterTest in 8.786 seconds (JVM running for 10.015)
2024-02-08 00:09:38,130 [] [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:305 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.skuu.SkuuApplicationTests], using SpringBootContextLoader
2024-02-08 00:09:38,133 [] [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [cn.skuu.SkuuApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-02-08 00:09:38,133 [] [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [cn.skuu.SkuuApplicationTests]: SkuuApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-02-08 00:09:38,161 [] [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:238 - Found @SpringBootConfiguration cn.skuu.SkuuApplication for test class cn.skuu.SkuuApplicationTests
2024-02-08 00:09:38,168 [] [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:245 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2024-02-08 00:09:38,170 [] [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:174 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4e614370, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1e1ea16d, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6da9541c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2157889c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@65e92505, org.springframework.test.context.support.DirtiesContextTestExecutionListener@e97f51c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@29394966, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@343727b5, org.springframework.test.context.event.EventPublishingTestExecutionListener@18dafd3b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2954c429, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4a45ca1c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4742466e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@83e5898, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7c4a03a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@63b58ff4]
2024-02-08 01:25:29,300 [] [main] INFO  [cn.skuu.adapter.UserAdapterTest] StartupInfoLogger.java:55 - Starting UserAdapterTest using Java 1.8.0_333 on dcxdeMacBook-Pro.local with PID 21108 (started by dcx in /Users/dcx/me/skuu-java)
2024-02-08 01:25:29,305 [] [background-preinit] INFO  [org.hibernate.validator.internal.util.Version] Version.java:21 - HV000001: Hibernate Validator 6.0.1.Final
2024-02-08 01:25:29,308 [] [main] INFO  [cn.skuu.adapter.UserAdapterTest] SpringApplication.java:640 - The following 1 profile is active: "dev"
2024-02-08 01:25:30,791 [] [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2024-02-08 01:25:30,796 [] [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
